rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,12,139,LiH,2,-0.7334431200951643,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_14/sample_18.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_1_12_139_LiH.vasp
2,12,12,LiCuH2,8,-0.4801216098661918,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_60/sample_14.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_2_12_12_LiCuH2.vasp
3,12,12,LiCu4H,6,-0.45791640812219264,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_89/sample_7.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_3_12_12_LiCu4H.vasp
4,12,187,LiCu,2,-0.391181600394062,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_85/sample_15.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_4_12_187_LiCu.vasp
5,12,1,Li2Cu11H2,15,-0.38651153077035144,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_65/sample_10.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_5_12_1_Li2Cu11H2.vasp
6,12,2,Li3H,4,-0.3857969987968177,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_34/sample_13.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_6_12_2_Li3H.vasp
7,12,2,Li6CuH,8,-0.34074317116700237,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_46/sample_12.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_7_12_2_Li6CuH.vasp
8,12,160,Cu3H,4,-0.29643162737414075,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_39/sample_10.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_8_12_160_Cu3H.vasp
9,12,164,Cu2H,3,-0.26739411066729996,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_66/sample_17.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_9_12_164_Cu2H.vasp
10,12,221,Cu4H,5,-0.2649625981922778,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/12_GPa/batch_76/sample_4.vasp,outputs_hull_mattersim/12_GPa/structures/CONTCAR_10_12_221_Cu4H.vasp
